name,name_translation,address,google_maps_url,cuisine,latitude,longitude
Mian Sichuan Noodles and Dumplings,滋味小面,"3540 Homestead Rd, Santa Clara, CA 95051",https://maps.app.goo.gl/wLyVZ9ZvS5BnJJJV8,Chinese,37.3362720,-121.9941848
Ping's Bistro Cupertino,留湘·小聚,"10700 S De Anza Blvd, Cupertino, CA 95014",https://maps.app.goo.gl/us6ZbmxmE12ada7e6,Chinese,37.3131060,-122.0319021
Ping's Bistro Warm Springs,留湘·小聚,"2090 Warm Springs Ct Ste 140, Fremont, CA 94539",https://maps.app.goo.gl/h42a9rTMuJt9h3jN6,Chinese,37.4968987,-121.9357968
Ping‘s Bistro San Mateo,留湘·小聚,"2946 S Norfolk St, San Mateo, CA 94403",https://maps.app.goo.gl/F7PaiUYt3rBSP1CM8,Chinese,37.5449014,-122.2852701
Hu Din Ji Shanghai Bistro,沪鼎记,"39169 Cedar Blvd, Newark, CA 94560",https://maps.app.goo.gl/ANTRKwezxLy8pEsT6,Chinese,37.5231047,-122.0058949
Hunan Impression,韶山印象,"5152 Moorpark Ave #30, San Jose, CA 95129",https://maps.app.goo.gl/cosZU2yvPaRbK3Sg7,Chinese,37.3088203,-121.9943234
H.L. Peninsula Restaurant,半岛豪苑酒家,"136 Ranch Dr, Milpitas, CA 95035",https://maps.app.goo.gl/DCgfwNeWh2KALuy48,Chinese,37.4266426,-121.9195828
Ishanghai Delight,阿拉上海,"2855 Stevens Creek Blvd #2329, Santa Clara, CA 95050",https://maps.app.goo.gl/Qh3FkUiLgsVi22xq9,Chinese,37.3252150,-121.9469022
I Shanghai Delight,阿拉上海,"6016 Stevenson Blvd, Fremont, CA 94538",https://maps.app.goo.gl/o1wjt12BTM2rwk967,Chinese,37.5193545,-121.9897423
Yum Noodles,扬裕兴,"Stephen's Plaza, 5223 Stevens Creek Blvd, Santa Clara, CA 95051",https://maps.app.goo.gl/eqDBMRif362xLbno6,Chinese,37.3239899,-121.9941515
SweetHome Kitchen,家之味,"1312 Saratoga Ave, San Jose, CA 95129",https://maps.app.goo.gl/EnLwLLtc7beZzfYz7,Chinese,37.3002934,-121.9802745
Jun Bistro,菌出云南,"290 Barber Ct, Milpitas, CA 95035",https://maps.app.goo.gl/7noh1hASpFGx3Mjp7,Chinese,37.4236648,-121.9174102
Kusan Bazaar,龟兹集市,"510 Barber Ln, Milpitas, CA 95035",https://maps.app.goo.gl/hDT6Sy3xzx3n22ES8,Chinese,37.4208538,-121.9161358
LeShan Beef,乐山古镇跷脚牛肉,"1072 S De Anza Blvd B103, San Jose, CA 95129",https://maps.app.goo.gl/RjnHD1k8ywwj9Rzz5,Chinese,37.3075740,-122.0314474
Shanghai Noodle House,上海面馆,"40575 Fremont Blvd, Fremont, CA 94538",https://maps.app.goo.gl/PAdvubyHwZURpadn7,Chinese,37.5358605,-121.9652854
575 Miishien,过桥米线,"840 El Paseo de Saratoga, San Jose, CA 95130",https://maps.app.goo.gl/uyzi46VruXggKKVz8,Chinese,37.2887959,-121.9902091
Drunken Monk,,"1438 El Camino Real, Menlo Park, CA 94025",https://maps.app.goo.gl/gT5i594ciTmrh9K66,Japanese,37.4565375,-122.1883738
Dan Izakaya Restaurant,,"1306 Saratoga Ave, San Jose, CA 95129",https://maps.app.goo.gl/Yg9xmTPAjqyzNEFQA,Japanese,37.3002122,-121.9800294
Ondam,,"2450 El Camino Real, Santa Clara, CA 95051",https://maps.app.goo.gl/Kj1j11SUh131fjMh8,Korean,37.3518572,-121.9694883
M Dumpling,麦田小馆,"47001 Warm Springs Blvd, Fremont, CA 94539",https://maps.app.goo.gl/qZ3vVC69mpDAB14y6,Chinese,37.4872319,-121.9286226
Red Hot Wok,好客栈,"10074 E Estates Dr, Cupertino, CA 95014",https://maps.app.goo.gl/qjTnDUzhuEfPZ5Az7,Chinese,37.3221034,-122.0148718
Red Hot Wok,好客栈,"3345 El Camino Real, Palo Alto, CA 94306",https://maps.app.goo.gl/gYpbWBnuh5byjQcP9,Chinese,37.4202868,-122.1359942
Easterly Santa Clara,眷湘,"3927 Rivermark Plaza, Santa Clara, CA 95054",https://maps.app.goo.gl/WxJXcNcDm2XH97yN6,Chinese,37.3946020,-121.9456010
Chome,,"3601 26th St, San Francisco, CA 94110",https://maps.app.goo.gl/vupuNgVcxmUse4Ni9,Japanese,37.7487628,-122.4214157
Tang Bar San Mateo,烫吧,"62 E 4th Ave, San Mateo, CA 94401",https://maps.app.goo.gl/j2UwQ3fxWqeLMvVA7,Chinese,37.5629830,-122.3237478
Tang Bar,烫吧,"3251 20th Ave Second Floor, San Francisco, CA 94132",https://maps.app.goo.gl/dmVnqDY7US8D6Fv26,Chinese,37.7277303,-122.4769749
Rintaro,,"82 14th St, San Francisco, CA 94103",https://maps.app.goo.gl/ET4Qatg2UGd5MpJb9,Japanese,37.7688786,-122.4151377
Kunjip Tofu,,"1962 El Camino Real, Mountain View, CA 94040",https://maps.app.goo.gl/g9snJz1y32YV4ZkF6,Korean,37.3944450,-122.0981760
Din Tai Fung,鼎泰丰,"2855 Stevens Creek Blvd #1259, Santa Clara, CA 95050",https://maps.app.goo.gl/nHmXCU8dtZJEyoUd9,Chinese,37.3262207,-121.9441336
SAN HO WON,,"2170 Bryant St, San Francisco, CA 94110",https://maps.app.goo.gl/9CyKsPV6FpVihM5u6,Korean,37.7595856,-122.4102144
Prik Hom,,"3226 Geary Blvd, San Francisco, CA 94118",https://maps.app.goo.gl/Y7kUY1oD3zDVZ8AUA,Thai,37.7818373,-122.4537697
Mister Jiu's,,"28 Waverly Pl, San Francisco, CA 94108",https://maps.app.goo.gl/w1QQtAHAkczgZDMd8,Chinese,37.7937209,-122.4066555
Stonemill Matcha,,"561 Valencia St, San Francisco, CA 94110",https://maps.app.goo.gl/x6FCZxAozXjmTuxH9,Japanese,37.7639633,-122.4216737
Roka Akor - San Francisco,,"801 Montgomery St, San Francisco, CA 94133",https://maps.app.goo.gl/cRMTmmmvWrvETeGAA,Japanese,37.7965511,-122.4038752
Dumpling Hours - Palo Alto,,"530 Bryant St, Palo Alto, CA 94301",https://maps.app.goo.gl/Zk58fzsJZa2Bhu6d7,Chinese,37.4454109,-122.1610970
Dumpling Hours - Oakland,,"3331 Lakeshore Ave, Oakland, CA 94610",https://maps.app.goo.gl/a6DRo3x4S4RMnn749,Chinese,37.8110807,-122.2438301
Yank Sing (Spear St.),羊城荣室,"101 Spear St, San Francisco, CA 94105",https://maps.app.goo.gl/HUY5N2ah2DEL9sPK6,Chinese,37.7926315,-122.3932049
Yank Sing (Stevenson St.),羊城荣室,"49 Stevenson St, San Francisco, CA 94105",https://maps.app.goo.gl/kAZrL6gn8ZdLzAe78,Chinese,37.7898659,-122.3993287
HINODEYA Ramen 680 Clay,,"680 Clay St, San Francisco, CA 94111",https://maps.app.goo.gl/mjseaKWQVf1LwXU2A,Japanese,37.7946079,-122.4044835
HINODEYA Ramen Union Square,,"219 O'Farrell St, San Francisco, CA 94102",https://maps.app.goo.gl/Xr8YzH2EuLrh3jbk6,Japanese,37.7862741,-122.4085169
HINODEYA Ramen Japantown,,"1737 Buchanan St, San Francisco, CA 94115",https://maps.app.goo.gl/BkQtKg5xCGE6SJ5b9,Japanese,37.7861987,-122.4301572
HINODEYA Ramen Chestnut,,"3340 Steiner St, San Francisco, CA 94123",https://maps.app.goo.gl/x1AaGrXiJNaVPJok8,Japanese,37.8002412,-122.4375457
Kenzo Sushi,,"5465 Snell Ave, San Jose, CA 95123",https://maps.app.goo.gl/8mu9Li7p5ZCyMqcTA,Japanese,37.2543068,-121.8312983
SHOWA Le Gourmet Tonkatsu,,"1550 Howard St, San Francisco, CA 94103",https://maps.app.goo.gl/K2Tu3kSTfHJxjENZ6,Japanese,37.7725108,-122.4166053
Old Street Chengpan Malatang,老街称盘麻辣烫,"6080 Stevenson Blvd, Fremont, CA 94538",https://maps.app.goo.gl/HJzWScVMdXm15MXz9,Chinese,37.5184090,-121.9896020
Chong Qing Noodle,表姐重庆面馆,"39229 Cedar Blvd, Newark, CA 94560",https://maps.app.goo.gl/cX1nmWjqFUnAmcPB8,Chinese,37.5225072,-122.0048127
GAO’s BBQ & Crab Milpitas,老高烧烤旧金山店,"1741 N Milpitas Blvd, Milpitas, CA 95035",https://maps.app.goo.gl/37yckXM213mPiT3U9,Chinese,37.4554472,-121.9117963
Liang's Village,梁妈妈家,"20530 Stevens Creek Blvd, Cupertino, CA 95014",https://maps.app.goo.gl/J4zy3xudd5mXwCky9,Chinese,37.3219071,-122.0333418
Joyous Cuisine,兰亭序,"124 Castro St, Mountain View, CA 94041",https://maps.app.goo.gl/9kRWEcjW7iuNQcKZ9,Chinese,37.3948279,-122.0786482
Shanghai Delight,上海家常菜,"218 Barber Ct, Milpitas, CA 95035",https://maps.app.goo.gl/9DyAJHbhcG22fxHu6,Chinese,37.4234998,-121.9183746
XIN XIN FOOD,,"1901 Las Plumas Ave STE 30, San Jose, CA 95133",https://maps.app.goo.gl/VXGiNP6J1TbtQer26,Chinese,37.3660680,-121.8618776
New China Foods Millbrae,新中华美食,"1595 El Camino Real, Millbrae, CA 94030",https://maps.app.goo.gl/PZbWYrpqa1LXFsJu9,Chinese,37.6122325,-122.4037139
Yuan Bistro,缘聚鑫美食坊,"42 Dixon Rd, Milpitas, CA 95035",https://maps.app.goo.gl/Wn3h2eZ3TSbrg2cd9,Chinese,37.4570759,-121.9105355
Maxine Kitchen,阿美厨房,"1655 Whipple Rd, Hayward, CA 94544",https://maps.app.goo.gl/Upr2U3d566h7GNQd9,Chinese,37.6065891,-122.0492082
K Tea Cafe,,"139 S Murphy Ave B, Sunnyvale, CA 94086",https://maps.app.goo.gl/PCLFPdmKNWY1wQZz9,Korean,37.3770903,-122.0305967
Mingkee Deli,西关明记肠粉,"20956 Homestead Rd G, Cupertino, CA 95014",https://maps.app.goo.gl/QQYABgtUoRdVNSRn9,Chinese,37.3369568,-122.0403888
Hanson’s Pastry since 2011,老宅门面食坊,"1726 N Milpitas Blvd, Milpitas, CA 95035",https://maps.app.goo.gl/V5d9MvXpL2Jv6mXN7,Chinese,37.4554457,-121.9099309
Hanson's Pastry Since 2011 - Newark,老宅门面食坊,"35201 Newark Blvd ste b, Newark, CA 94560",https://maps.app.goo.gl/n5xWhapjfAkR4cYo7,Chinese,37.5479903,-122.0473266
Liukoushui Chongqing Noodles,流口水重庆小面 /汤小福麻辣烫,"19052 Stevens Creek Blvd, Cupertino, CA 95014",https://maps.app.goo.gl/Ra8VzkhssAcwvVbg9,Chinese,37.3225758,-122.0057336
Little Shanghai Restaurant,上海人家,"17 E 25th Ave, San Mateo, CA 94403",https://maps.app.goo.gl/ozcEGp4VwDVMgmYz6,Chinese,37.5449904,-122.3053632
Blue Sky Café,蓝天茶餐厅,"1625 El Camino Real #9, Belmont, CA 94002",https://maps.app.goo.gl/YsAfLVhKchNniEp57,Chinese,37.5144128,-122.2682688
Porridge & Things,,"235 Broadway, Millbrae, CA 94030",https://maps.app.goo.gl/NzuWVvhoTWqq5CwSA,Chinese,37.6001001,-122.3912138
Taste of Shaxian,沙县小吃,"38 E 4th Ave, San Mateo, CA 94401",https://maps.app.goo.gl/FFXzwAt2zpJZ2zN9A,Chinese,37.5626930,-122.3242690
Home Eat - Santa Clara,汉家宴,"638 El Camino Real, Santa Clara, CA 95050",https://maps.app.goo.gl/GQ9LNDF6JmkmfJCL6,Chinese,37.3546492,-121.9421115
China Restaurant,中华路,"31 S B St, San Mateo, CA 94401",https://maps.app.goo.gl/zpXe4PdTfovkaDA38,Chinese,37.5675120,-122.3242000
Full House Cafe,啫煲,"1456 E 14th St, San Leandro, CA 94577",https://maps.app.goo.gl/E22UdTUTpVHkLqL69,Chinese,37.7239323,-122.1542081
Full House Cafe,啫煲,"326 7th St, Oakland, CA 94607",https://maps.app.goo.gl/w8UscCQQKBfheesTA,Chinese,37.7985649,-122.2711266
Shanghai Flavor,面面俱到,"46132 Warm Springs Blvd, Fremont, CA 94539",https://maps.app.goo.gl/PE6NDUwyPGWumt6Y8,Chinese,37.4935918,-121.9309748
Shanghai Flavor Shop,上海生煎馆,"888 Old San Francisco Rd, Sunnyvale, CA 94086",https://maps.app.goo.gl/wLhi4UHJg3y3JHPCA,Chinese,37.3661993,-122.0157934
MiPot,小米麻辣烫,"150 W El Camino Real, Sunnyvale, CA 94087",https://maps.app.goo.gl/68NCbrLcUvKo9F6P9,Chinese,37.3678049,-122.0335234
DH Noodles & Grill,敦煌兰州牛肉拉面,"1183 S De Anza Blvd #60, San Jose, CA 95129",https://maps.app.goo.gl/pDsYA4EfdkD1kSY38,Chinese,37.3039659,-122.0328240
Curry Hyuga,,"19650 Stevens Creek Blvd, Cupertino, CA 95014",https://maps.app.goo.gl/bKLk7z3Uwu2FWG157,Japanese,37.3221680,-122.0178960
Curry Hyuga,,"1819 Market St, San Francisco, CA 94103",https://maps.app.goo.gl/ynYHm4nfdTQM24k57,Japanese,37.7712462,-122.4238573
Curry Hyuga,,"1204 Broadway, Burlingame, CA 94010",https://maps.app.goo.gl/GfprWbkPLeKSmoGX8,Japanese,37.5862166,-122.3649823
Kura Revolving Sushi Bar,,"19600 Vallco Pkwy #160, Cupertino, CA 95014",https://maps.app.goo.gl/URG1TVuuc3PyqgSB8,Japanese,37.3253658,-122.0118873
Kura Revolving Sushi Bar,,"1628 Hostetter Rd Suite 40, San Jose, CA 95131",https://maps.app.goo.gl/TEwtjAwss7HU2u6n7,Japanese,37.3873417,-121.8853003
Kura Revolving Sushi Bar,,"2100 University Ave, Berkeley, CA 94704",https://maps.app.goo.gl/sNgoTm2N7ikMMdDU6,Japanese,37.8720247,-122.2682292
Kura Revolving Sushi Bar,,"3251 20th Ave Space #220, San Francisco, CA 94132",https://maps.app.goo.gl/7gPR59V3XkBvXkHB6,Japanese,37.7280128,-122.4771869
Steam Rice Roll King,谭记石磨肠粉王,"2228 Irving St, San Francisco, CA 94122",https://maps.app.goo.gl/3dvYFST5YfPwwsNC7,Chinese,37.7635533,-122.4820321
Xian Steam Pot & Yakiniku,鱻,"500 Barber Ln, Milpitas, CA 95035",https://maps.app.goo.gl/mc5NKNvnXZAPSCkD8,Chinese,37.4209166,-121.9160191
Taiwanese Eats,台湾小吃,"426 MacArthur Ave, Redwood City, CA 94063",https://maps.app.goo.gl/U6T4BaCftqMVKzCz9,Chinese,37.4777766,-122.2114600
Darda Express,一条龙快餐,"1211 S Mary Ave, Sunnyvale, CA 94087",https://maps.app.goo.gl/JNA1yvGZZXJAuwN69,Chinese,37.3534371,-122.0514280
Fen Classic Guilin Rice Noodles,合味桂林米粉,"542 Barber Ln, Milpitas, CA 95035",https://maps.app.goo.gl/7BSJnhbB5Q8oDpGN6,Chinese,37.4207165,-121.9168051
Hunan Mifen,小香牛骨米粉,"1149 Lawrence Expy, Sunnyvale, CA 94089",https://maps.app.goo.gl/5diAAhzx2hj4h9oS6,Chinese,37.3977108,-121.9970499
